rowname,Estimate.Intercept,Est.Error.Intercept,Q2.5.Intercept,Q97.5.Intercept,Estimate.pred_climb_difficulty,Est.Error.pred_climb_difficulty,Q2.5.pred_climb_difficulty,Q97.5.pred_climb_difficulty,n
Moors Oliver,-0.17496332773588683,1.8450710961733137,-3.924124662255016,3.316766806493843,0.005054713969805289,0.12491660226721932,-0.24046624396170718,0.25120073300469653,5
Mora Sebastian,-0.7159805208404812,1.6659740150778495,-4.223722868870659,2.220658282284238,0.013997796753243953,0.11929253420487979,-0.21970584387436623,0.24829654840295368,48
Morabito Steve,-0.8077237465785002,1.5693085244294291,-4.109168731787721,1.9957480894437156,-0.0033861695329043787,0.11281204456008044,-0.23246217203291447,0.210451669068296,88
Morajko Jacek,-0.13388367213821242,1.8794584502690925,-3.895340364925068,3.4259458069328312,0.004784679364255384,0.12462453991276518,-0.24115880892767028,0.2512870908971485,3
Morales Jesus,-0.1487322409191255,1.8515140316059766,-3.808592705233781,3.3977113263132983,0.0013674029891483622,0.12638593612667054,-0.2436778490477122,0.24912950549980037,5
Moreira Mauricio,-0.683484418087676,1.6161497157195766,-4.05477602201178,2.162690311175391,0.017214590507818345,0.11968267917112616,-0.21694242857460647,0.2533218069156754,44
Morel Jeremy,-0.12364733826916408,1.8538020430483462,-3.8680455784585708,3.4123576953556363,0.003870247299697898,0.1264513381915221,-0.23937127319025744,0.2530684508189584,3
Moreno Adria,-0.26623526057937225,1.8058945282102652,-3.9942737791990996,3.0869586086514382,0.004157338645674045,0.12468929238099666,-0.238109016954625,0.24819883989304123,11
Moreno Daniel,-0.5395022174258972,1.6203037187834888,-3.9133882297655527,2.3665772353154484,-0.011003215498306589,0.10834009468355339,-0.23184332035585256,0.1861338393524466,47
Moreno Ivan,-0.31758630380395314,1.7945690373512424,-3.9879698150668004,3.0162675172593594,0.00613222699336788,0.12320904825349545,-0.2335273630165756,0.24690930871758177,13
Moreno Javier,-0.7802128195462108,1.601860612285435,-4.147830322926989,2.0375962572358306,0.011679153145567054,0.11779209222260827,-0.22050152028009662,0.2417453928344227,64
Morey Drew,-0.09414194600582049,1.909868791013508,-3.937752036440169,3.5231935536268497,0.002098211467008816,0.12615390369829366,-0.24414530882069738,0.251890055239646,2
Morgan Ollie,-0.13890325317284835,1.8660484972086364,-3.8953711884468234,3.3585431545475743,0.003738160170760541,0.1257113461586109,-0.2434121066845363,0.2508725064698425,4
Mori Manuele,-1.0316655488882494,1.5436623954824091,-4.316961472388634,1.6661322366954203,0.01158298099435865,0.11400933177260299,-0.21454060732660976,0.23174359582060394,116
Morice Julien,-1.040535542667262,1.5148178012806433,-4.311118897717867,1.5873176091497676,0.03153337167984659,0.12031195410920346,-0.2018321164879343,0.2694645187051427,104
Moricz Daniel,-0.18293672865635574,1.8424012303713166,-3.882068867427234,3.2728291841446735,0.002911929353012385,0.12237768312959393,-0.23463731147361144,0.24259996394055852,6
Morin Emmanuel,-0.7684035793435762,1.575221714974401,-4.075453732202242,2.0458711549070507,0.023199409793378922,0.12036089844711076,-0.21010151031629865,0.25954449408943536,56
Morkov Jesper,-0.2410633187204783,1.7738438914389576,-3.8689160462680396,3.040749378332685,0.005180702066075253,0.12335839610729617,-0.2354855897688554,0.24896589804724295,8
Morkov Michael,3.0245828655201548,0.4901622210896873,1.9938264664115166,3.925402257509657,-0.16936875791016878,0.08464874383063507,-0.34626785493622964,-0.01753927118677564,162
Morosini Basso Luiz Guilherme,-0.12529348588854844,1.8657231683325572,-3.893968709832568,3.3766300321536593,0.00449373792792123,0.12616200570196956,-0.2419018607056304,0.25194764390260305,3
Mortensen Martin,-0.32791236412318003,1.7376287954249,-3.9060838087297403,2.856487036838393,0.00814412526456774,0.1234334238108754,-0.23189683384574178,0.2521909800074074,13
Mortier Julien,-0.9817342518735379,1.5333942333348543,-4.212864730514349,1.726701818688942,0.024714319329532858,0.12192938282326009,-0.2102993323251034,0.26525365252525757,93
Morton Lachlan,-0.9193919239167926,1.562790067144414,-4.225296222548374,1.8477285260408427,0.012492703697273731,0.11832692227485812,-0.2194410926593137,0.24313961144660395,91
Mosca Jacopo,0.9608293249202258,1.1883028043524266,-1.6454671715046922,2.993261411837834,-0.07564878957703328,0.10423851112739954,-0.2905935178241772,0.12059717697191658,90
Moschetti Matteo,3.8427638313532646,0.40032315147124276,3.0238851815369157,4.590770960230812,-0.14447673702988403,0.08868695238191508,-0.3298948690310844,0.01923353014698977,93
Moscon Gianni,3.021581272308892,0.4763445394163708,2.020495600390888,3.8978567973856313,-0.022082775781985184,0.05066361363383131,-0.13301964818415923,0.06758967903855193,124
Moser Moreno,0.8892119497703485,1.3054052723273013,-1.935916890417754,3.1593538273153383,-0.00957577462309517,0.11015887048607258,-0.22721522545906758,0.20314171954684715,48
Moses Thomas,-0.320018874062607,1.7535500656353367,-3.8949941408995015,2.8876774753201566,0.010550594606270287,0.12461830382502517,-0.23250678844042555,0.25926434660823494,12
Mosin Sergey,-0.2940896046664395,1.7843798161515032,-3.974140248584363,3.0008771201871185,0.00688722961842418,0.1246101996538998,-0.23309493106371645,0.2557253540427979,11
Mostov Zeke,-0.4199723712407723,1.724495370188809,-3.9947032615080875,2.7286003679795012,0.008329111944351672,0.12114032573630037,-0.2296137564280922,0.24619218553790073,18
Mota Guilherme,-0.1617186086102676,1.8407980224110094,-3.822107161969735,3.322747652609642,0.003867243536699902,0.12732948596286603,-0.24800903304258146,0.25478132909607804,5
Mottier Justin,-0.749525054030169,1.5763281293621119,-4.096330428627885,2.0126537301610634,0.021706855962258263,0.12056782752548666,-0.21503741635795875,0.258667104572377,53
Mottram Michael,-0.05277502598190854,1.9022672103914382,-3.8444455496657013,3.6182360903399484,0.0013121151201053482,0.12839140841924526,-0.2512147898914903,0.2504536762542602,1
Mould Jon,-0.22354126774226982,1.7930198139232683,-3.8600414244597085,3.1289054644487586,0.006561159099507882,0.123847858662762,-0.2358060992741635,0.25100767852715,7
Moyano Enzo Josue,-0.32391479020593095,1.789289528161983,-3.9228240370003733,2.970390847979629,0.007515157221710436,0.12261615417915361,-0.2258974784493723,0.2502952362737056,12
Moyano Ignacio,-0.17824254022931177,1.8578758433875169,-3.949397674788014,3.2998637060690816,0.003704470958278417,0.12497259379052865,-0.24166548871727575,0.2489322247714327,6
Mozzato Luca,-0.5062937737362488,1.6609535272845384,-3.978429402138888,2.4671399002890957,0.011704772548481382,0.120146100138421,-0.22314349146568513,0.24848941199124905,27
Mudgway Luke,-0.32805106522020777,1.743270295802391,-3.894802002749867,2.887918923484746,0.010251358338890052,0.12308116485776593,-0.2283322510422829,0.2509692264160995,12
Muela Albert,-0.27242409481958973,1.7772429870476507,-3.8882114031571655,3.029673018811378,0.009711854672140488,0.12457114536122564,-0.23227065132090588,0.25347218964354995,9
Muff Frederik,-0.2508965403315625,1.7970586722087216,-3.8836874515640605,3.06006496753903,0.007846206534884034,0.12329902766611056,-0.2317030901589581,0.25343267777659767,8
Mugerli Matej,-0.15680394728427816,1.8439765151441068,-3.886970283463994,3.327347404340241,0.005484950567760577,0.12490215578966854,-0.2361675679264349,0.24878704600717505,4
