bib,low,high,low_dist,high_dist,diff,length,meters_sec,climb,zscore
38,2019-07-25T12:35:06Z,2019-07-25T13:19:55Z,74.825251576051,88.61158433270919,44.8166666666667,13.786332756658183,5.126936688976639,izoard,0.0414711419353031
41,2019-07-25T12:35:06Z,2019-07-25T13:19:55Z,74.74368012440836,88.60563345046545,44.8166666666667,13.86195332605709,5.155058879158457,izoard,0.06959333211712071
42,2019-07-25T12:27:15Z,2019-07-25T13:09:56Z,74.80783232546378,88.73180490728315,42.6833333333333,13.92397258181937,5.436927989777185,izoard,0.3514624427358495
43,2019-07-25T12:35:06Z,2019-07-25T13:24:49Z,74.51886666808602,88.61202163261494,49.7166666666667,14.093154964528921,4.724490433968797,izoard,-0.3609751130725387
45,2019-07-25T12:35:06Z,2019-07-25T13:24:49Z,74.6245578589376,88.63844836592492,49.7166666666667,14.013890506987309,4.69791837311006,izoard,-0.38754717393127613
46,2019-07-25T12:35:06Z,2019-07-25T13:24:49Z,74.67091683944382,88.63049697380858,49.7166666666667,13.959580134364757,4.6797117446747425,izoard,-0.4057538023665934
47,2019-07-25T12:35:06Z,2019-07-25T13:22:43Z,74.5564738171364,88.62528255941317,47.6166666666667,14.068808742276758,4.9243292762606785,izoard,-0.1611362707806574
48,2019-07-25T12:35:06Z,2019-07-25T13:22:43Z,74.63480041985397,88.63126496156731,47.6166666666667,13.996464541713337,4.899007539976666,izoard,-0.18645800706466975
51,2019-07-25T12:35:06Z,2019-07-25T13:15:22Z,74.67782388629806,88.57304593771678,40.2666666666667,13.895222051418727,5.751333630554109,izoard,0.6658680835127733
52,2019-07-25T12:35:06Z,2019-07-25T13:24:49Z,74.55593083430696,88.58988349487876,49.7166666666667,14.0339526605718,4.704643868780355,izoard,-0.3808216782609808
53,2019-07-25T12:35:06Z,2019-07-25T13:16:36Z,74.53138117297526,88.59242705209115,41.5,14.061045879115895,5.647006377154978,izoard,0.5615408301136418
54,2019-07-25T12:35:06Z,2019-07-25T13:24:12Z,74.95178098870643,88.5883973878538,49.1,13.636616399147371,4.628858248183086,izoard,-0.45660729885825013
55,2019-07-25T12:27:15Z,2019-07-25T13:13:30Z,74.71278278027822,88.72217014297226,46.25,14.009387362694042,5.048427878448304,izoard,-0.03703766859303226
56,2019-07-25T12:35:06Z,2019-07-25T13:17:50Z,74.54013893906743,88.5831040869273,42.7333333333333,14.042965147859874,5.476975486684818,izoard,0.39150993964348224
57,2019-07-25T12:35:06Z,2019-07-25T13:15:22Z,74.6586610092388,88.58254915192433,40.2666666666667,13.923888142685527,5.763198734555268,izoard,0.6777331875139323
58,2019-07-25T12:35:24Z,2019-07-25T13:15:22Z,74.79066919601009,88.67005663431567,39.9666666666667,13.879387438305585,5.787901350419343,izoard,0.7024358033780072
61,2019-07-25T12:27:15Z,2019-07-25T13:09:56Z,74.84035626968009,88.7412183589206,42.6833333333333,13.900862089240519,5.42790397861793,izoard,0.3424384315765945
62,2019-07-25T12:35:06Z,2019-07-25T13:15:22Z,74.62414844886993,88.58021775881211,40.2666666666667,13.95606930994218,5.776518754115141,izoard,0.6910532070738054
63,2019-07-25T12:27:15Z,2019-07-25T13:10:45Z,74.79489885372588,88.7307749317409,43.5,13.935876078015013,5.339416121844833,izoard,0.2539505748034969
64,2019-07-25T12:35:06Z,2019-07-25T13:22:43Z,74.60231548821965,88.58744254257205,47.6166666666667,13.985127054352404,4.8950392209843905,izoard,-0.19042632605694543
65,2019-07-25T12:35:06Z,2019-07-25T13:15:22Z,74.6349951885223,88.57493386816505,40.2666666666667,13.93993867964275,5.769842168726304,izoard,0.6843766216849678
66,2019-07-25T12:35:06Z,2019-07-25T13:22:43Z,74.61167777133502,88.58342227357639,47.6166666666667,13.971744502241364,4.890355093539155,izoard,-0.19511045350218126
67,2019-07-25T12:35:06Z,2019-07-25T13:15:22Z,74.64431076038244,88.59107448200503,40.2666666666667,13.946763721622588,5.772667103320607,izoard,0.6872015562792715
68,2019-07-25T12:27:15Z,2019-07-25T13:13:02Z,74.5519662628809,88.74612966733736,45.7833333333333,14.19416340445646,5.167150857101006,izoard,0.08168531005966972
72,2019-07-25T12:35:06Z,2019-07-25T13:24:49Z,74.5510896915599,88.63244442642451,49.7166666666667,14.081354734864618,4.720534607732021,izoard,-0.36493093930931497
73,2019-07-25T12:35:06Z,2019-07-25T13:24:49Z,74.52410565260516,88.64561213644907,49.7166666666667,14.121506483843916,4.73399479847265,izoard,-0.3514707485686861
74,2019-07-25T12:35:06Z,2019-07-25T13:19:55Z,74.76384551558466,88.60176468158066,44.8166666666667,13.837919165995999,5.146120924505763,izoard,0.060655377464427396
75,2019-07-25T12:27:15Z,2019-07-25T13:13:02Z,74.86006715247258,88.7425355641543,45.7833333333333,13.882468411681714,5.05368344072869,izoard,-0.03178210631264555
76,2019-07-25T12:27:15Z,2019-07-25T13:09:56Z,74.84049194764384,88.74385897910588,42.6833333333333,13.90336703146204,5.42888208959861,izoard,0.34341654255727416
77,2019-07-25T12:35:06Z,2019-07-25T13:19:55Z,74.81016070254803,88.63207923619763,44.8166666666667,13.821918533649594,5.140170521996874,izoard,0.05470497495553772
81,2019-07-25T12:35:06Z,2019-07-25T13:15:22Z,74.64513958565344,88.5946756506955,40.2666666666667,13.949536065042068,5.77381459645781,izoard,0.6883490494164741
83,2019-07-25T12:35:06Z,2019-07-25T13:15:22Z,74.6725742055377,88.58314155299819,40.2666666666667,13.910567347460486,5.757685160372718,izoard,0.6722196133313822
84,2019-07-25T12:35:06Z,2019-07-25T13:24:49Z,74.66736992130767,88.60260442137564,49.7166666666667,13.935234500067978,4.671550284970827,izoard,-0.41391526207050866
85,2019-07-25T12:27:15Z,2019-07-25T13:13:02Z,74.72956124590247,88.74181396032004,45.7833333333333,14.01225271441757,5.100929273541162,izoard,0.01546372649982608
87,2019-07-25T12:27:31Z,2019-07-25T13:13:02Z,74.79382908626637,88.65722918889826,45.5166666666667,13.863400102631886,5.076309081886446,izoard,-0.00915646515488966
91,2019-07-25T12:35:06Z,2019-07-25T13:15:22Z,74.67477518072906,88.59345874802236,40.2666666666667,13.9186835672933,5.7610445228863,izoard,0.6755789758449637
92,2019-07-25T12:27:15Z,2019-07-25T13:13:30Z,74.71334420275805,88.74427124001767,46.25,14.030927037259616,5.056189923336799,izoard,-0.029275623704537068
93,2019-07-25T12:35:06Z,2019-07-25T13:22:43Z,74.55043488173432,88.59522240088215,47.6166666666667,14.044787519147832,4.91592142777313,izoard,-0.16954411926820612
94,2019-07-25T12:35:06Z,2019-07-25T13:16:36Z,74.52343678884273,88.5908660480848,41.5,14.067429259242076,5.6495699836313555,izoard,0.5641044365900196
95,2019-07-25T12:35:06Z,2019-07-25T13:25:52Z,74.5353921284355,88.67634126253222,50.7666666666667,14.140949134096715,4.6424652442865115,izoard,-0.4430003027548244
96,2019-07-25T12:35:06Z,2019-07-25T13:24:49Z,74.60581943354471,88.63069267281021,49.7166666666667,14.024873239265503,4.701600147256287,izoard,-0.38386539978504874
98,2019-07-25T12:27:15Z,2019-07-25T13:09:56Z,74.84340566259452,88.74259661533183,42.6833333333333,13.899190952737314,5.4272514458169905,izoard,0.3417858987756546
101,2019-07-25T12:27:15Z,2019-07-25T13:09:56Z,74.83483831359489,88.74383134529018,42.6833333333333,13.908993031695289,5.431078887815419,izoard,0.3456133407740829
102,2019-07-25T12:35:06Z,2019-07-25T13:24:49Z,74.54316636212874,88.63626001729808,49.7166666666667,14.09309365516934,4.724469881049059,izoard,-0.3609956659922773
103,2019-07-25T12:35:06Z,2019-07-25T13:19:55Z,74.79812101392618,88.61519460752548,44.8166666666667,13.817073593599304,5.138368759241095,izoard,0.0529032121997588
104,2019-07-25T12:35:06Z,2019-07-25T13:24:49Z,74.52573298858616,88.65063136407193,49.7166666666667,14.12489837548577,4.735131872439078,izoard,-0.3503336746022576
105,2019-07-25T12:27:15Z,2019-07-25T13:14:31Z,74.85590140665369,88.74472364444048,47.2666666666667,13.888822237786798,4.897328010503102,izoard,-0.18813753653823362
106,2019-07-25T12:27:15Z,2019-07-25T13:13:47Z,74.52139310206627,88.74776746083468,46.5333333333333,14.22637435876841,5.095406288957167,izoard,0.009940741915831275
107,2019-07-25T12:35:06Z,2019-07-25T13:24:49Z,74.55174428415613,88.62160656549834,49.7166666666667,14.06986228134221,4.7166819582105965,izoard,-0.36878358883073936
108,2019-07-25T12:35:06Z,2019-07-25T13:16:36Z,74.75194944140777,88.63764616801393,41.5,13.885696726606156,5.576585030765525,izoard,0.491119483724189
111,2019-07-25T12:25:55Z,2019-07-25T13:11:13Z,74.54747014584214,88.7443472492591,45.3,14.196877103416966,5.22328075916739,izoard,0.1378152121260543
114,2019-07-25T12:27:15Z,2019-07-25T13:11:13Z,74.7028884502636,88.72333310171892,43.9666666666667,14.020444651455321,5.314800853470554,izoard,0.22933530642921784
115,2019-07-25T12:27:15Z,2019-07-25T13:10:27Z,74.650534762795985,88.72416130701393,43.2,14.073626544217944,5.429639870454454,izoard,0.34417432341311827
116,2019-07-25T12:35:06Z,2019-07-25T13:19:55Z,74.79787411078108,88.63167659664214,44.8166666666667,13.833802485861057,5.144589991023078,izoard,0.05912444398174177
