Race,Year,URL,race_name,Updated,n,race,type
Brabantse Pijl 2021,2021,https://www.nicerodds.co.uk/brabantse-pijl,Who wins Brabantse Pijl 2021?,2021-04-12T09:00:18Z,330,race/brabantse-pijl/2021,1
Brabantse Pijl 2021,2021,https://www.nicerodds.co.uk/brabantse-pijl,Who wins Brabantse Pijl 2021?,2021-04-11T23:59:19Z,330,race/brabantse-pijl/2021,1
Brabantse Pijl 2021,2021,https://www.nicerodds.co.uk/brabantse-pijl,Who wins Brabantse Pijl 2021?,2021-04-11T20:00:18Z,330,race/brabantse-pijl/2021,1
Bredene–Koksijde Classic 2021,2021,https://www.nicerodds.co.uk/bredene-koksijde-classic,Who wins Bredene–Koksijde Classic 2021?,2021-03-19T09:00:15Z,476,race/bredene-koksijde-classic/2021,1
Bredene–Koksijde Classic 2021,2021,https://www.nicerodds.co.uk/bredene-koksijde-classic,Who wins Bredene–Koksijde Classic 2021?,2021-03-18T23:59:13Z,476,race/bredene-koksijde-classic/2021,1
Bredene–Koksijde Classic 2021,2021,https://www.nicerodds.co.uk/bredene-koksijde-classic,Who wins Bredene–Koksijde Classic 2021?,2021-03-18T20:00:14Z,472,race/bredene-koksijde-classic/2021,1
Bredene–Koksijde Classic 2021,2021,https://www.nicerodds.co.uk/bredene-koksijde-classic,Who wins Bredene–Koksijde Classic 2021?,2021-03-18T09:00:19Z,324,race/bredene-koksijde-classic/2021,1
Bredene–Koksijde Classic 2021,2021,https://www.nicerodds.co.uk/bredene-koksijde-classic,Who wins Bredene–Koksijde Classic 2021?,2021-03-17T23:59:19Z,324,race/bredene-koksijde-classic/2021,1
Bredene–Koksijde Classic 2021,2021,https://www.nicerodds.co.uk/bredene-koksijde-classic,Who wins Bredene–Koksijde Classic 2021?,2021-03-17T20:00:17Z,324,race/bredene-koksijde-classic/2021,1
Bretagne Classic Ouest–France 2020,2020,https://www.nicerodds.co.uk/bretagne-classic-ouest-france,Who wins Bretagne Classic Ouest–France 2020?,2020-08-25T04:01:13Z,480,race/bretagne-classic/2020,1
Bretagne Classic Ouest–France 2020,2020,https://www.nicerodds.co.uk/bretagne-classic-ouest-france,Who wins Bretagne Classic Ouest–France 2020?,2020-08-24T20:01:13Z,376,race/bretagne-classic/2020,1
