stage,race,race_standard,year,class,time_trial,one_day_race,grand_tour,type,sof,tt,classics,n
3,giro d'italia,Giro d'Italia,2015,2.UWT,0,0,1,-12.82805565,33.23739456,41.50087504,37.15692875,7
3,giro d'italia,Giro d'Italia,2016,2.UWT,0,0,1,-180.7018633,17.19441195,-20.86529888,-9.739827914,10
3,giro d'italia,Giro d'Italia,2017,2.UWT,0,0,1,-127.1885014,14.31805452,-4.098044675,-6.567238363,9
3,giro d'italia,Giro d'Italia,2018,2.UWT,0,0,1,-155.1074773,0.339058172,6.819210436,-31.98706431,10
3,giro d'italia,Giro d'Italia,2019,2.UWT,0,0,1,-127.5215104,-1.066756462,15.72516217,-21.88603198,9
4,giro d'italia,Giro d'Italia,2014,2.UWT,0,0,1,-128.3494396,7.860596945,4.184905566,-30.31696154,7
4,giro d'italia,Giro d'Italia,2015,2.UWT,0,0,1,47.2533082,82.11570696,-2.235395418,-23.58437375,8
4,giro d'italia,Giro d'Italia,2016,2.UWT,0,0,1,59.91444346,148.3507755,2.595077433,-12.5554902,10
4,giro d'italia,Giro d'Italia,2017,2.UWT,0,0,1,62.80708487,136.3772811,-31.01659853,-9.426544091,10
4,giro d'italia,Giro d'Italia,2018,2.UWT,0,0,1,48.05812935,85.47399099,0.042972807,-7.189257541,10
4,giro d'italia,Giro d'Italia,2019,2.UWT,0,0,1,-36.75970999,66.2417591,-8.613942512,-11.11347867,9
5,giro d'italia,Giro d'Italia,2014,2.UWT,0,0,1,51.35803403,168.9230732,0.914307209,-21.33020869,9
5,giro d'italia,Giro d'Italia,2015,2.UWT,0,0,1,52.4431362,81.2765027,-14.2672113,-24.73127433,10
5,giro d'italia,Giro d'Italia,2016,2.UWT,0,0,1,-130.8417357,20.94965294,7.61414531,-2.793355733,9
5,giro d'italia,Giro d'Italia,2017,2.UWT,0,0,1,-116.7811628,3.297979874,2.006355157,2.100758032,10
5,giro d'italia,Giro d'Italia,2018,2.UWT,0,0,1,33.49139122,59.57302282,27.91075737,5.874693143,10
5,giro d'italia,Giro d'Italia,2019,2.UWT,0,0,1,-87.5092121,-3.305695719,0.095604205,-11.62032651,8
6,giro d'italia,Giro d'Italia,2014,2.UWT,0,0,1,11.3414078,56.70530811,28.54619725,22.88787086,8
6,giro d'italia,Giro d'Italia,2015,2.UWT,0,0,1,-164.3169996,5.644397989,2.065274821,-18.80058123,10
6,giro d'italia,Giro d'Italia,2016,2.UWT,0,0,1,71.02179489,194.4944414,-12.88253942,-20.62066827,9
6,giro d'italia,Giro d'Italia,2017,2.UWT,0,0,1,24.24838363,81.5661677,-14.445255,8.926537794,8
6,giro d'italia,Giro d'Italia,2018,2.UWT,0,0,1,79.60170017,164.6321238,-40.09218449,-41.7482479,10
6,giro d'italia,Giro d'Italia,2019,2.UWT,0,0,1,1.542179428,-5.193433825,4.150572362,7.156242209,4
7,giro d'italia,Giro d'Italia,2014,2.UWT,0,0,1,-139.1749895,23.97777308,9.400236674,-2.460649107,9
7,giro d'italia,Giro d'Italia,2015,2.UWT,0,0,1,-26.91268355,17.47161497,60.45020299,14.56909362,10
7,giro d'italia,Giro d'Italia,2016,2.UWT,0,0,1,-179.5974649,22.70230116,-2.936130647,3.070926937,10
7,giro d'italia,Giro d'Italia,2017,2.UWT,0,0,1,-104.4073089,29.42028339,-12.88444143,0.514370669,10
7,giro d'italia,Giro d'Italia,2018,2.UWT,0,0,1,-159.1350273,5.151557003,-4.77735954,-21.95993463,10
7,giro d'italia,Giro d'Italia,2019,2.UWT,0,0,1,9.79678468,26.35410897,13.68392842,1.381515726,6
8,giro d'italia,Giro d'Italia,2014,2.UWT,0,0,1,69.91530573,162.1963554,-7.343485865,-39.70160403,9
8,giro d'italia,Giro d'Italia,2015,2.UWT,0,0,1,61.63662732,104.9853328,-18.37923234,-34.11731708,10
8,giro d'italia,Giro d'Italia,2016,2.UWT,0,0,1,47.23541029,107.6157456,0.367942304,-21.94622675,7
8,giro d'italia,Giro d'Italia,2017,2.UWT,0,0,1,55.08266528,113.5440317,4.585862333,-14.47021927,10
