no_Rider,rider,n,
Daniel Crista,Crista Daniel,16,4968
Daniel-Crista,Crista Daniel,3,4968
Unai-Cuadrado,Cuadrado Unai,58,5022
Unai Cuadrado,Cuadrado Unai,8,5022
Gabriel Cullaigh,Cullaigh Gabriel,5040,5050
Gil D'heygere,D'heygere Gil,8,5140
Alberto Dainese,Dainese Alberto,9018,5203
Scott Davies,Davies Scott,287,5364
Mekseb Debesay,Debesay Mekseb,15,5811
Yakob Debesay,Debesay Yakob,36,5812
Yakob-Debesay,Debesay Yakob,9,5812
Jens Debusschere,Debusschere Jens,7060,5836
Benjamin Declercq,Declercq Benjamin,310,5858
Tim Declercq,Declercq Tim,6242,5862
Thomas Degand,Degand Thomas,75,5890
John Degenkolb,Degenkolb John,11672,5894
David Dekker,Dekker David,7877,5933
Anthony Delaplace,Delaplace Anthony,160,5983
Alexandre Delettre,Delettre Alexandre,62,6007
Alexandre-Delettre,Delettre Alexandre,12,6007
Kevin Deltombe,Deltombe Kevin,13,6055
Yegor Dementyev,Dementyev Yegor,16,6077
Yegor-Dementyev,Dementyev Yegor,3,6077
Rohan Dennis,Dennis Rohan,7904,6128
Nico Denz,Denz Nico,4609,6140
Dries Devenyns,Devenyns Dries,6897,6236
Tom Devriendt,Devriendt Tom,4266,6253
Stan Dewulf,Dewulf Stan,5553,6271
Jonathan Dibben,Dibben Jonathan,1422,6362
Silvan Dillier,Dillier Silvan,11943,6407
Emil Dima,Dima Emil,30,6409
Emil-Dima,Dima Emil,3,6409
Mitchell Docker,Docker Mitchell,2048,6474
Joe Dombrowski,Dombrowski Joe,8869,6519
Axel Domont,Domont Axel,114,6533
Robert Donaldson,Donaldson Robert,56,6540
Mark Donovan,Donovan Mark,7109,6567
Fabien Doubey,Doubey Fabien,1017,6606
Paul Double,Double Paul,55,6607
Paul-Double,Double Paul,50,6607
Owain Doull,Doull Owain,9287,6616
Alex Dowsett,Dowsett Alex,984,6635
Guido Draghi,Draghi Guido,8,6647
Jarrad Drizners,Drizners Jarrad,36,6686
Jempy Drucker,Drucker Jempy,9162,6708
Antoine Duchesne,Duchesne Antoine,196,6754
Sandy Dujardin,Dujardin Sandy,26,6796
Tom Dumoulin,Dumoulin Tom,9959,6820
Eddie Dunbar,Dunbar Eddie,8785,6823
Timothy Dupont,Dupont Timothy,1244,6842
Luke Durbridge,Durbridge Luke,7424,6864
Julien Duval,Duval Julien,4714,6899
Benjamin Dyball,Dyball Benjamin,645,6916
Nicolas Edet,Edet Nicolas,7005,6970
Nils Eekhoff,Eekhoff Nils,9400,6986
Pascal Eenkhoorn,Eenkhoorn Pascal,5969,6987
Niklas Eg,Eg Niklas,7751,6991
Jakob Egholm,Egholm Jakob,188,7004
Itamar Einhorn,Einhorn Itamar,2443,7038
Kenny Elissonde,Elissonde Kenny,10217,7076
Felix Engelhardt,Engelhardt Felix,35,7136
Lucas Eriksson,Eriksson Lucas,624,7195
