race;stage;rider;
;;Jungels Bob;
;;Formolo Davide;
;;Brambilla Gianluca;
;;Hamilton Chris;
;;Bakelants Jan;
;;Maestri Mirco;
;;Conti Valerio;
;18;Cima Damiano;
;;Denz Nico;
;;Maestri Mirco;
;19;Chaves Esteban;
;;Vendrame Andrea;
;;Antunes Amaro;
;;Canola Marco;
;;Santaromita Ivan;
;;Boaro Manuele;
;;Marcato Marco;
;;Le Gac Olivier;
;;Bidard Francois;
;;Senni Manuel;
;;Serry Pieter;
;20;Masnada Fausto;
;;Bilbao Pello;
;;Amador Andrey;
;;Caruso Damiano;
;;Cataldo Dario;
;;Kangert Tanel;
;;Zakarin Ilnur;
;;Hindley Jai;
;;Dunbar Eddie;
;;Capecchi Eros;
;;Nieve Mikel;
;;Ghebreigzabhier Amanuel;
tour-de-romandie-2019;1;Haga Chad;race/tour-de-romandie/2019
;;Capecchi Eros;
;;Rosa Diego;
;;Bonnet William;
;;Thomson Jay Robert;
;;Bodnar Maciej;
;;Pellaud Simon;
;;Gougeard Alexis;
;;Vingegaard Jonas;
;;Owsian Lukasz;
;;Schelling Patrick;
;;Vanhoucke Harm;
;;Mori Manuele;
;2;Kung Stefan;
;;Bagdonas Gediminas;
;;Brown Nathan;
;;Imhof Claudio;
;;Backaert Frederik;
;;Arcas Jorge;
;3;Elissonde Kenny;
;;Kamna Lennard;
;;Storer Michael;
;;Amador Andrey;
;;Tratnik Jan;
;;Albasini Michael;
;;Thalmann Roland;
;;Stalnov Nikita;
;4;Martinez Daniel Felipe;
;;Pellaud Simon;
;;Imhof Claudio;
;;Gregaard Jonas;
;;Gougeard Alexis;
;;Evenepoel Remco;
;;Vanhoucke Harm;
;;Pasqualon Andrea;
tour-of-the-alps-2019;1;Gamper Patrick;race/tour-of-the-alps/2019
;;Dima Emil;
;;Kuen Maximilian;
;;Krizek Matthias;
;2;Acosta Ruben Dario;
;;Samitier Sergio;
;;Visconti Giovanni;
;;Zardini Edoardo;
;;Amador Juan Jose;
;;Rocchetti Filippo;
;3;Gesbert Elie;
;;Boaro Manuele;
;;Nibali Antonio;
;;Shalunov Evgeny;
;;Bagioli Nicola;
;;Gavazzi Francesco;
;;Barcelo Fernando;
;;Velasco Simone;
;;Corradini Michele;
;;Tizza Marco;
;;Nicolau Joel;
;;Quintero Carlos;
;4;Zeits Andrey;
;;Vuillermoz Alexis;
;;Gesbert Elie;
;;Nibali Antonio;
;;Samitier Sergio;
;;Zardini Edoardo;
;;Aranburu Alex;
;5;Cataldo Dario;
;;Masnada Fausto;
;;Stalnov Nikita;
;;Cuadros Alvaro;
;;Thalmann Roland;
;;Quintero Carlos;
;;Bizkarra Mikel;
;;Garosio Andrea;
;;Moinard Amael;
;;Santaromita Ivan;
;;Barcelo Fernando;
;;Bayer Tobias;
;;Romano Francesco;
;;Zardini Edoardo;
;;Velasco Simone;
;;Vuillermoz Alexis;
;;Gesbert Elie;
paris-nice-2019;1;Gaudin Damien;race/paris-nice/2019
;;Moinard Amael;
;;Combaud Romain;
;2;Gaudin Damien;
;;Edet Nicolas;
;;De Marchi Alessandro;
;3;De Gendt Thomas;
;;Geoghegan Hart Tao;
;;Le Gac Olivier;
;;Declercq Tim;
;;Hollenstein Reto;
;;Turgis Anthony;
;;Reza Kevin;
;;Navardauskas Ramunas;
;4;De Gendt Thomas;
;;Pfingsten Christoph;
;;Bernard Julien;
;;Le Turnier Mathias;
;;Le Gac Olivier;
;;De Marchi Alessandro;
;;Reza Kevin;
;;Cort Magnus;
;;Gaudin Damien;
;;Ciccone Giulio;
;;Gesbert Elie;
;;Grosu Eduard-Michel;
;;Siskevicius Evaldas;
;6;Calmejane Lilian;
;;Pichon Laurent;
;;Garcia Cortina Ivan;
;;Kirsch Alex;
;;Finetto Mauro;
;7;Yates Simon;
;;Bernard Julien;
;;Carretero Hector;
;;Cherel Mikael;
;;Ciccone Giulio;
;;Combaud Romain;
;;Cort Magnus;
;;Davies Scott;
;;De Gendt Thomas;
;;De Marchi Alessandro;
;;Declercq Tim;
;;Demare Arnaud;
;;Edet Nicolas;
;;Eenkhoorn Pascal;
;;El Fares Julien;
;;Frank Mathias;
;;Gautier Cyril;
;;Gilbert Philippe;
;;Henao Sergio;
;;Hivert Jonathan;
;;Koren Kristijan;
;;Le Turnier Mathias;
;;Lopez Miguel Angel;
;;Martinez Daniel Felipe;
;;Moinard Amael;
;;Monfort Maxime;
;;Nieve Mikel;
;;Pacher Quentin;
;;Pantano Jarlinson;
;;Pichon Laurent;
;;Politt Nils;
;;Poljanski Pawel;
;;Siskevicius Evaldas;
;;Spilak Simon;
;;Sutherland Rory;
;;Teunissen Mike;
;;Gesbert Elie;
;;De La Parte Victor;
;8;Soler Marc;
;;Anacona Winner;
;;Carretero Hector;
;;Yates Simon;
;;Trentin Matteo;
;;Lopez Miguel Angel;
;;Houle Hugo;
;;Izagirre Ion;
;;De Gendt Thomas;
;;Pozzovivo Domenico;
;;Colbrelli Sonny;
;;Garcia Cortina Ivan;
;;Konrad Patrick;
;;Gro?Schartner Felix;
;;Naesen Oliver;
;;Henao Sergio;
;;Bernard Julien;
;;Madouas Valentin;
;;Jungels Bob;
;;Zakarin Ilnur;
;;Politt Nils;
;;Spilak Simon;
;;Gesbert Elie;
;;Moinard Amael;
;;Martinez Daniel Felipe;
;;Van Garderen Tejay;
;;Edet Nicolas;
;;Kelderman Wilco;
;;Perichon Pierre-Luc;
;;Antunes Amaro;
;;De Marchi Alessandro;
;;Calmejane Lilian;
;;Hivert Jonathan;
;;Pacher Quentin;
;;El Fares Julien;
;;Sanchez Luis Leon;
volta-ao-algarve-em-bicicleta-2019;1;Paulinho Pedro;race/volta-ao-algarve/2019
;;Ribeiro David;
;;Scheulen Marvin;
;;Mendes Jose;
;;Lourenco Rafael;
;2;Le Gac Olivier;
;;Barta Will;
;;Reis Rafael;
;;Silva Bruno;
;;Nanclares Jesus;
;;Van Goethem Brian;
;5;Declercq Tim;
;;Wynants Maarten;
;;Kung Stefan;
;;Schillinger Andreas;
;;Koch Jonas;
;;De Buyst Jasper;
;;Van Bilsen Kenneth;
;;Wurtz Schmidt Mads;
;;Pedersen Mads;
;;Frison Frederik;
;;Maes Nikolas;
;;Politt Nils;
;;Garcia De Mateos Vicente;
vuelta-a-la-comunitat-valenciana-2019;2;Van Gompel Mathias;race/vuelta-a-la-comunidad-valenciana/2019
;;Bou Joan;
;;Iturria Mikel;
;;Alarcon Raul;
;;Ellsay Niguel;
;;Azurmendi Ibai;
;;Sevilla Diego Pablo;
;;Rubio Diego;
;3;Barthe Cyril;
;;Barcelo Fernando;
;;Duval Julien;
;;Andemeskel Awet;
;;Van Hecke Preben;
;;Kulikov Vladislav;
;;Alarcon Raul;
;;Moreira Mauricio;
;;Lopez Diego;
;;Rubio Diego;
;4;Rubio Diego;
;;Dillier Silvan;
;;Rodrigues Joao;
;5;Van Poucke Aaron;
;;Martin Gotzo;
;;Kurbatov Alexey;
;;Gougeard Alexis;
tirreno-adriatico-2019;2;Irizar Markel;race/tirreno-adriatico/2019
;;Kurianov Stepan;
;;Berhane Natnael;
;;Maestri Mirco;
;;Schonberger Sebastian;
;3;Kurianov Stepan;
;;Berhane Natnael;
;;Maestri Mirco;
;;Schonberger Sebastian;
;;Tonelli Alessandro;
;;Cataford Alexander;
;4;Peters Nans;
;;Maestri Mirco;
;;Burghardt Marcus;
;;Rosskopf Joey;
;;Neilands Krists;
;;Mas Lluis;
;;Visconti Giovanni;
;;Biermans Jenthe;
