WCS_Rider,PCS_Rider
"Lindau, Philip",Lindau Philip
"Ginneken, Sjoerd van",Ginneken Sjoerd van
"Delfosse, Sébastien",Delfosse Sébastien
"Weening, Pieter",Weening Pieter
"Hagen, Edvald Boasson",Hagen Edvald Boasson
"Vangstad, Andreas",Vangstad Andreas
"Peyskens, Dimitri",Peyskens Dimitri
"Molina, Antonio",Molina Antonio
"Steen, Nicolaj",Steen Nicolaj
"Kurek, Adrian",Kurek Adrian
"Daniel, Maxime",Daniel Maxime
"Vervaeke, Louis",Vervaeke Louis
"Aert, Wout van",Aert Wout van
"Warnier, Antoine",Warnier Antoine
"Hatsuyama, Sho",Hatsuyama Sho
"Yamamoto, Masaki",Yamamoto Masaki
"Yamamoto, Genki",Yamamoto Genki
"Monier, Damien",Monier Damien
"Mamos, Philipp",Mamos Philipp
"Dombrowski, Frederik",Dombrowski Frederik
"Magosaki, Daiki",Magosaki Daiki
"Hegyvary, Adrian",Hegyvary Adrian
"Tsubaki, Hiroshi",Tsubaki Hiroshi
"Takubo, Kenji",Takubo Kenji
"Prades, Benjami",Prades Benjami
"Jones, Chris",Jones Chris
"Kimura, Keisuke",Kimura Keisuke
"Santaromita, Ivan",Santaromita Ivan
"Iribe, Shotaro",Iribe Shotaro
"Pujol, Óscar",Pujol Óscar
"Pourhashemi, Hamid",Pourhashemi Hamid
"Toribio, José Vicente",Toribio José Vicente
"Norris, Lachlan",Norris Lachlan
"Safarzadeh, Saeid",Safarzadeh Saeid
"Pourseyedi, Samad",Pourseyedi Samad
"García, Marcos",García Marcos
"Abe, Takayuki",Abe Takayuki
"Jans, Roy",Jans Roy
"De Bondt, Dries",De Bondt Dries
"Vanbilsen, Kenneth",Vanbilsen Kenneth
"De Winter, Ludwig",De Winter Ludwig
"Stevens, Timothy",Stevens Timothy
"Leemans, Rob",Leemans Rob
"Geuens, Alexander",Geuens Alexander
"Morice, Julien",Morice Julien
"Poel, Mathieu van der",Poel Mathieu van der
"Vermote, Julien",Vermote Julien
"Walsleben, Philipp",Walsleben Philipp
"Cavagna, Rémi",Cavagna Rémi
"Duchesne, Antoine",Duchesne Antoine
"Keukeleire, Jens",Keukeleire Jens
"Declercq, Tim",Declercq Tim
"Soete, Daan",Soete Daan
"Freienstein, Raphael",Freienstein Raphael
"Doubey, Fabien",Doubey Fabien
"Wirtgen, Tom",Wirtgen Tom
"Van Avermaet, Greg",Van Avermaet Greg
"Kirsch, Alex",Kirsch Alex
"Sprengers, Thomas",Sprengers Thomas
"Tusveld, Martijn",Tusveld Martijn
"Rekita, Szymon",Rekita Szymon
"Van Melsen, Kevin",Van Melsen Kevin
"Le Roux, Romain",Le Roux Romain
"Kamp, Alexander",Kamp Alexander
"Alaphilippe, Bryan",Alaphilippe Bryan
"Hatz, Christopher",Hatz Christopher
"Pons, Gaëtan",Pons Gaëtan
"Asgreen, Kasper",Asgreen Kasper
"Huppertz, Joshua",Huppertz Joshua
"Koishi, Yuma",Koishi Yuma
"Bouwman, Koen",Bouwman Koen
"El Fares, Julien",El Fares Julien
"Baarle, Dylan van",Baarle Dylan van
"Bettiol, Alberto",Bettiol Alberto
"Herrada, Jesús",Herrada Jesús
"Sicard, Romain",Sicard Romain
"Vuillermoz, Alexis",Vuillermoz Alexis
"Lutsenko, Alexey",Lutsenko Alexey
"Dougall, Nic",Dougall Nic
"Caruso, Damiano",Caruso Damiano
"Quintana, Dayer",Quintana Dayer
"Gasparotto, Enrico",Gasparotto Enrico
"Boom, Lars",Boom Lars
"Nordhaug, Lars Petter",Nordhaug Lars Petter
"Bewley, Sam",Bewley Sam
"Bodnar, Maciej",Bodnar Maciej
"Boudat, Thomas",Boudat Thomas
