WCS_Rider,PCS_Rider
"Bergström, Erik",Bergström Erik
"Hník, Karel",Hník Karel
"Weulink, Meindert",Weulink Meindert
"Dementyev, Yehor",Dementyev Yehor
"Wolf, Justin",Wolf Justin
"Budzinski, Tomasz",Budzinski Tomasz
"Kelemen, Petr",Kelemen Petr
"Galván, Francisco",Galván Francisco
"Fisher-Black, Finn",Fisher-Black Finn
"Dina, Márton",Dina Márton
"Centrone, Ivan",Centrone Ivan
"Hänninen, Jaakko",Hänninen Jaakko
"Paquot, Tom",Paquot Tom
"Van Den Brande, Julien",Van Den Brande Julien
"Goeman, Andreas",Goeman Andreas
"Canal, Carlos",Canal Carlos
"Manzin, Lorrenzo",Manzin Lorrenzo
"Petelin, Jan",Petelin Jan
"Rex, Laurenz",Rex Laurenz
"Ruiz, Ibon",Ruiz Ibon
"Stewart, Jake",Stewart Jake
"Ferron, Valentin",Ferron Valentin
"Garibbo, Nicolò",Garibbo Nicolò
"Benedetti, Gabriele",Benedetti Gabriele
"Nessler, Martin",Nessler Martin
"Murgano, Marco",Murgano Marco
"Voisard, Yannis",Voisard Yannis
"Müller, Reto",Müller Reto
"Tiberi, Antonio",Tiberi Antonio
"Ballabio, Giacomo",Ballabio Giacomo
"Garcia, Sergio",Garcia Sergio
"Porta, Gabriele",Porta Gabriele
"Ginestra, Lorenzo",Ginestra Lorenzo
"Schneiter, Joab",Schneiter Joab
"Rocchetta, Cristian",Rocchetta Cristian
"Colnaghi, Luca",Colnaghi Luca
"Pidcock, Tom",Pidcock Tom
"Bais, Davide",Bais Davide
"Puppio, Antonio",Puppio Antonio
"Pongiluppi, Matteo",Pongiluppi Matteo
"Nencini, Tommaso",Nencini Tommaso
"Carboni, Matteo",Carboni Matteo
"Garcia, Carlos",Garcia Carlos
"Murguialday, Jokin",Murguialday Jokin
"Baroni, Alessandro",Baroni Alessandro
"Zambanini, Edoardo",Zambanini Edoardo
"Zurlo, Matteo",Zurlo Matteo
"Fantoni, Matteo",Fantoni Matteo
"Szollosi, Ferenc",Szollosi Ferenc
"Abenante, Pasquale",Abenante Pasquale
"Davy, Clement",Davy Clement
"Gloag, Thomas",Gloag Thomas
"Merchán, Didier",Merchán Didier
"Milan, Jonathan",Milan Jonathan
"Debusschere, Jens",Debusschere Jens
"Russo, Clément",Russo Clément
"Di Sante, Antonio",Di Sante Antonio
"Ballerstedt, Maurice",Ballerstedt Maurice
"Rumac, Josip",Rumac Josip
"Zingle, Axel",Zingle Axel
"Sleen, Torjus",Sleen Torjus
"Page, Hugo",Page Hugo
"Heßmann, Michael",Heßmann Michael
"Sinschek, Nils",Sinschek Nils
"Krul, Wessel",Krul Wessel
"Heinschke, Leon",Heinschke Leon
"Grignard, Sébastien",Grignard Sébastien
"Balmer, Alexandre",Balmer Alexandre
"Schneider, Lillan",Schneider Lillan
"Braz-Afonso, Clement",Braz-Afonso Clement
"Van Tricht, Stan",Van Tricht Stan
"Jarnet, Maxime",Jarnet Maxime
"Culverwell, Sam",Culverwell Sam
"Debons, Antonie",Debons Antonie
"Joalland, Yaël",Joalland Yaël
"Paret-Peintre, Valentin",Paret-Peintre Valentin
"Boileau, Alan",Boileau Alan
"Vervloesem, Xandres",Vervloesem Xandres
"Agut, Maxime",Agut Maxime
"Bareille, Bastien",Bareille Bastien
"Hayter, Leo",Hayter Leo
"Askey, Lewis",Askey Lewis
"Jousseaume, Alan",Jousseaume Alan
"Pattyn, Steven",Pattyn Steven
"Paulus, Milan",Paulus Milan
"Wood, Harrison",Wood Harrison
"Frigo, Marco",Frigo Marco
"Sauvagnargues, Jacques",Sauvagnargues Jacques
"Champion, Thomas",Champion Thomas
"Leemreize, Gijs",Leemreize Gijs
"Zana, Filippo",Zana Filippo
"Torres, Albert",Torres Albert
"Fiorelli, Filippo",Fiorelli Filippo
