stage_name,stage,race,year,climb_difficulty,HC,X1,X2
Stage 6,6,Tour of Colombia,2019,25,1,0,0
Stage 4,4,Tour of the Alps,2019,20,0,2,0
NA,1,Tour of Oman,2019,0,0,0,0
NA,1,UAE Tour,2019,0,0,0,0
NA,1,Vattenfall Cyclassics,2013,0,0,0,0
NA,1,Vattenfall Cyclassics,2014,0,0,0,0
NA,1,Vattenfall Cyclassics,2015,0,0,0,0
Stage 4,4,Volta a la Comunitat Valenciana,2019,15,0,0,3
Stage 2,2,Volta ao Algarve em Bicicleta,2019,15,0,0,2
Stage 4,4,Volta Ciclista a Catalunya,2013,35,0,3,1
Stage 4,4,Volta Ciclista a Catalunya,2014,35,0,1,4
Stage 4,4,Volta Ciclista a Catalunya,2015,30,0,1,3
Stage 4,4,Volta Ciclista a Catalunya,2016,45,1,2,0
Stage 5,5,Volta Ciclista a Catalunya,2017,30,1,0,1
Stage 4,4,Volta Ciclista a Catalunya,2018,30,1,0,2
Stage 4,4,Volta Ciclista a Catalunya,2019,35,0,2,2
Stage 4,4,Vuelta a Andalucia Ruta Ciclista Del Sol,2019,30,0,2,1
Stage 5,5,Vuelta al Pais Vasco,2017,20,0,0,3
Stage 2,2,Vuelta Aragon,2019,10,0,0,1
Stage 2,2,Vuelta Asturias Julio Alvarez Mendo,2019,20,0,1,1
Stage 2,2,Vuelta Ciclista a la Region de Murcia Costa Calida,2019,15,0,1,0
Stage 4,4,Vuelta Ciclista al Pais Vasco,2013,30,0,1,4
Stage 4,4,Vuelta Ciclista al Pais Vasco,2014,30,0,1,4
Stage 3,3,Vuelta Ciclista al Pais Vasco,2015,30,0,0,5
Stage 5,5,Vuelta Ciclista al Pais Vasco,2016,35,0,0,7
NA,1,World Championships,2013,10,0,0,0
NA,1,World Championships,2014,10,0,0,0
NA,1,World Championships,2015,5,0,0,0
NA,1,World Championships,2016,0,0,0,0
NA,1,World Championships,2017,5,0,0,0
NA,1,World Championships,2018,45,0,0,0
Stage 3,3,Vuelta a Burgos,2018,,,,
Stage 3,3,La Route d'Occitanie,2018,,,,
Stage 4,4,Tour of Slovenia,2018,,,,
Stage 2,2,Tour de l'Ain,2018,,,,
Stage 3,3,Vuelta Aragon,2018,,,,
Stage 3,3,Vuelta Asturias Julio Alvarez Mendo,2018,,,,
Stage 5,5,Tour of the Alps,2018,20,0,0,4
Stage 3,3,Tour of the Alps,2018,15,0,1,1
Stage 2,2,Tour of the Alps,2018,30,1,1,0
Stage 2,2,Tour Cycliste International du Haut Var Matin,2018,,,,
Stage 2,2,Volta ao Algarve em Bicicleta,2018,,,,
Stage 1,1,Vuelta a Andalucia Ruta Ciclista Del Sol,2018,,,,
Stage 6,6,Tour of Colombia,2018,,,,
Stage 5,5,Tour of Utah,2018,,,,
Stage 4,4,Volta a la Comunitat Valenciana,2018,,,,
Stage 3,3,Tour de l'Ain,2017,,,,
Stage 3,3,Vuelta a Burgos,2017,,,,
Stage 3,3,Route du Sud - la Depeche du Midi,2017,,,,
Stage 3,3,Tour of Slovenia,2017,,,,
Stage 3,3,Vuelta Asturias Julio Alvarez Mendo,2017,,,,
Stage 4,4,Tour of the Alps,2017,20,0,2,0
Stage 3,3,Tour of the Alps,2017,20,0,1,2
Stage 2,2,Tour Cycliste International du Haut Var Matin,2017,,,,
Stage 5,5,Volta ao Algarve em Bicicleta,2017,,,,
Stage 4,4,Vuelta a Andalucia Ruta Ciclista Del Sol,2017,,,,
Stage 4,4,Volta a la Comunitat Valenciana,2017,,,,
Stage 2,2,Tour of Utah,2017,,,,
