SEGMENT,RACE,CLIMB,year,race,stage,summit,duplicate
https://www.strava.com/segments/665090?filter=overall,Volta Algarve Stage 2 2018,Alto de Foia,2018,volta ao algarve em bicicleta,2,1,1
https://www.strava.com/segments/665090?filter=overall,Volta Algarve Stage 2 2017,Alto de Foia,2017,volta ao algarve em bicicleta,2,1,1
https://www.strava.com/segments/16727596?filter=overall,Andalucia 2019 Stage 1,Alcala,2019,vuelta a andalucia ruta ciclista del sol,1,,0
https://www.strava.com/segments/15910917?filter=overall,Andalucia 2019 Stage 4,Alto de Hazallanas,2019,vuelta a andalucia ruta ciclista del sol,4,,0
https://www.strava.com/segments/16091383?filter=overall,Andalucia 2018 Stage 2,Alto de la Allanadas,2018,vuelta a andalucia ruta ciclista del sol,2,,0
https://www.strava.com/segments/8837605?filter=overall,Ruta del Sol 2020 Stage 3,Climb close to finish,2020,vuelta a andalucia ruta ciclista del sol,3,,0
https://www.strava.com/segments/6330171?filter=overall,Ruta del Sol 2020 Stage 2,Iznajar,2020,vuelta a andalucia ruta ciclista del sol,2,,0
https://www.strava.com/segments/12629293?filter=overall,Ruta del Sol 2020 Stage 1,Puerto de las Palomes,2020,vuelta a andalucia ruta ciclista del sol,1,,0
https://www.strava.com/segments/16360125?filter=overall,Ruta del Sol 2020 Stage 4,Purche,2020,vuelta a andalucia ruta ciclista del sol,4,,0
https://www.strava.com/segments/23439819?filter=overall,Vuelta a Burgos 2020 Stage 5,Lagunas de Neila,2020,vuelta a burgos,5,1,0
https://www.strava.com/segments/24769245?filter=overall,Vuelta a Burgos 2020 Stage 3,Picon Blanco,2020,vuelta a burgos,3,1,0
https://www.strava.com/segments/23439819?filter=overall,Burgos Stage 5 2019,Lagunas de Neila,2019,vuelta a burgos,5,1,1
https://www.strava.com/segments/23439819?filter=overall,Burgos Stage 5 2018,Lagunas de Neila,2018,vuelta a burgos,5,1,1
https://www.strava.com/segments/23439819?filter=overall,Burgos Stage 5 2017,Lagunas de Neila,2017,vuelta a burgos,5,1,1
https://www.strava.com/segments/24769245?filter=overall,Burgos Stage 3 2019,Picon Blanco,2019,vuelta a burgos,3,1,1
https://www.strava.com/segments/24769245?filter=overall,Burgos Stage 3 2018,Picon Blanco,2018,vuelta a burgos,3,1,1
https://www.strava.com/segments/24769245?filter=overall,Burgos Stage 3 2017,Picon Blanco,2017,vuelta a burgos,3,1,1
